county_name,per_dem_2012,per_gop_2012,per_dem_2016,per_gop_2016,per_dem_2020,per_gop_2020
Henry County,0.3501149425287356,0.6442528735632184,0.2851440688536859,0.7013845578146439,0.4403082381302545,0.5459324847814057
Houston County,0.2951031235810052,0.6981812967521449,0.250939804901261,0.727266238401142,0.3654086581395029,0.6200969953425749
Jackson County,0.2829968377523716,0.7016297737776697,0.1762328602357469,0.8007216742843397,0.4497464046678229,0.5300255681310233
Jefferson County,0.526187776840329,0.4660573982282219,0.5224931147043718,0.4502207775644494,0.5118821324195343,0.46769200628136703
Lamar County,0.2295013270009777,0.7616985612515714,0.1493291011398066,0.8395613908526908,0.23263122903508507,0.7550240246592729
Lauderdale County,0.3387883385715834,0.6476102741952964,0.2544765928941334,0.7145801664390797,0.33189074139765873,0.6546293011706279
Lawrence County,0.3590453867462178,0.6289509198096456,0.2469397524447787,0.7339123298912672,0.3129302696316821,0.6714222679805854
Lee County,0.3931257507160676,0.5924789799501062,0.3639280016647014,0.5951480890615246,0.3907214201427623,0.5981426075069479
Limestone County,0.2770434389651471,0.7135231316725978,0.2370558375634517,0.7315736040609137,0.2743040866401557,0.7082155850748795
Lowndes County,0.7643303630801969,0.2332757015560579,0.731276213301378,0.262282804074296,0.47443577251938757,0.5136209982103798
Macon County,0.8709677419354839,0.127298988926336,0.8272748056698674,0.1593507087334247,0.3868741260821706,0.5979432560814764
Madison County,0.3996714780899167,0.5864180764654147,0.3915082803985628,0.5593360631580268,0.397637401845771,0.5802440291123437
Marengo County,0.534711964549483,0.4623338257016248,0.5121483375959079,0.4771647789550602,0.50348623853211,0.4901834862385321
Marion County,0.185806345009914,0.8010575016523463,0.11090458488228,0.8730638166047088,0.48605897081088806,0.4948143385037599
Marshall County,0.1932213834540132,0.7944846710830381,0.1405119405119405,0.8356070356070356,0.27613570180547464,0.7080239273927392
Mobile County,0.4501834214560047,0.5428930644300157,0.418815450433633,0.5574923341514318,0.43389530693804457,0.5527450809110961
Monroe County,0.4585205992509363,0.5365168539325843,0.4231713303878252,0.5666175748649975,0.5052898056492593,0.47643643200796326
Montgomery County,0.6189072616696633,0.3761311050196009,0.6203633210675464,0.3587531193164996,0.574287591198321,0.40861324416164174
Morgan County,0.2723891215090044,0.7176917760884589,0.2243603848692764,0.7479746354343781,0.24133962285545815,0.7404551588066539
Perry County,0.7478977741137676,0.2479802143446001,0.7274976213130352,0.2669838249286393,0.2697306498447982,0.7153799939921899
Pickens County,0.4633816022502344,0.5332847171580373,0.4183694965241205,0.574468085106383,0.24283902774321234,0.7420035316007157
Pike County,0.4274738564416305,0.5647719997154442,0.3868714011516315,0.5897120921305182,0.3037541182590602,0.6842668053869718
Randolph County,0.296025406601867,0.6947358290828601,0.226061204343534,0.759822309970385,0.296228447620033,0.6890492912743672
Russell County,0.5561443484711992,0.438556515288008,0.5004703177257525,0.4812918060200669,0.3308967470531884,0.6568161939272773
Shelby County,0.2163029803479241,0.7726671294087024,0.2311003144907668,0.7342754616563181,0.5083526992459834,0.4754116997977028
St. Clair County,0.1649337701182167,0.8261216350947158,0.1462951735772465,0.8324063579091652,0.4021766951180156,0.5802776881331538
Sumter County,0.7715302491103203,0.2256227758007117,0.7415115005476451,0.2473791268971991,0.42342533970621354,0.5698806336177773
Talladega County,0.41654410661224,0.5767926283879101,0.3645011740622554,0.6200252874947317,0.3683930123657572,0.623475310545944
Tallapoosa County,0.3349046496678808,0.6590422112706236,0.2848573281452659,0.700767401642888,0.2791196226954409,0.7128293077985803
Tuscaloosa County,0.4077074972928212,0.5822409070641442,0.388529886914378,0.5837984040730406,0.41881071729583463,0.566883289712993
Walker County,0.2298838474225357,0.7591325402673965,0.1534042334917758,0.8278220428820573,0.21973946943044595,0.7672102310544833
Washington County,0.339116539207853,0.6562036297226344,0.2786151672162035,0.7101978332548281,0.4442851925444869,0.5319187873156256
Wilcox County,0.7433939208797923,0.2559951122651596,0.7102543068088597,0.2849876948318293,0.5346329775648007,0.4612284905249401
Winston County,0.1324135090609555,0.8556425041186162,0.0849341784495368,0.8995611896635788,0.24425175370226032,0.7456644583008574
Arkansas County,0.3782367447595561,0.5998766954377311,0.3144154370034052,0.620236743959786,0.28893833439287986,0.684043229497775
Ashley County,0.3607075173720783,0.6147820593809223,0.2999875420455961,0.6650056060794818,0.2681049709815796,0.6999747665909665
Baxter County,0.2674388541289622,0.7077925435648172,0.2127018189249949,0.7487737584304108,0.22064073880135193,0.7538439567763127
Benton County,0.2856368913253789,0.6898032892615286,0.2959198828796334,0.6444908871019075,0.4001555826275851,0.5673159061220296
