State,County,per_dem_2000,per_gop_2000,per_dem_2004,per_gop_2004,per_dem_2008,per_gop_2008,per_dem_2012,per_gop_2012,per_dem_2016,per_gop_2016,per_dem_2020,per_gop_2020
MISSISSIPPI,GRENADA,0.4435801806674692,0.5465103883361637,0.4133333329220564,0.5814925367348334,0.4448867653530726,0.5514861990875034,0.46651962905468053,0.5280988085327757,0.42081232719412887,0.5678683529269777,0.4338740716397452,0.5573274671823596
MISSISSIPPI,HANCOCK,0.33001099784849397,0.6410503157540209,0.2862108260477431,0.7026780622776764,0.22155582982209923,0.7655671189712665,0.2281703266568589,0.75516980208821,0.1896014060273281,0.7830696826086808,0.214916256995316,0.7697666647088006
MISSISSIPPI,HARRISON,0.3638056864140555,0.613045461340078,0.3649085907838685,0.627422747026788,0.36756695409383844,0.628315284250646,0.3650675845810593,0.6232630115236131,0.3343547138290154,0.6373730512473942,0.3659592439597245,0.6179653678838077
MISSISSIPPI,HINDS,0.5330864759561255,0.4301355815848085,0.5954906392400753,0.3972526516666953,0.6939040326246614,0.30322467833251504,0.7147270660699282,0.27855875141762604,0.7139130342187014,0.26694901825424855,0.7355367767652846,0.25142257110341293
MISSISSIPPI,HOLMES,0.7338992175506612,0.260980867339018,0.7576129656709075,0.23637033369797356,0.8153943076599871,0.17998529856139317,0.8410852704122682,0.15450043049687723,0.8282565616292019,0.1620851904877598,0.8118299435467283,0.16869993817781895
MISSISSIPPI,HUMPHREYS,0.5801217023830585,0.4127789036187147,0.6396473862832781,0.3496022353265916,0.7105983560606212,0.28588189228415745,0.7488488090006739,0.24808135025310563,0.7220785311025664,0.2706324940732836,0.7199809006445909,0.2668894717906673
MISSISSIPPI,ISSAQUENA,0.5897980808735592,0.38894792360310393,0.5301455246346619,0.45426194953989657,0.6120507334878358,0.3847780086175686,0.6086403988736926,0.38373570033372684,0.565092981901388,0.42632331292813574,0.5251479212256225,0.45562129503518795
MISSISSIPPI,ITAWAMBA,0.34960298884913243,0.6333489016425164,0.2887661522626447,0.7035223002255916,0.21191783586341487,0.7792353052885547,0.18308649905227892,0.793410602282238,0.11471705852447668,0.8698777848722627,0.1154450502676356,0.8723541908934705
MISSISSIPPI,JACKSON,0.31465182780618267,0.6665927681586908,0.3044886064061827,0.6887724125371812,0.32889406797090537,0.6657603165444462,0.3224117043477007,0.6662380019259644,0.2957007685969091,0.6784554238347176,0.31855600162833797,0.6654382779338432
MISSISSIPPI,JASPER,0.48146424618975614,0.5109353179603919,0.514887710680182,0.48044410739282856,0.5469685419103423,0.4500925215520926,0.5457173441694675,0.4489293357077844,0.5153982294803561,0.47646017642895555,0.49690934009053417,0.4924450543813587
MISSISSIPPI,JEFFERSON,0.8174882605120649,0.17605633751157176,0.813372090658802,0.1822674413306179,0.8686800875421028,0.12326621896361026,0.8912700182917438,0.10557184726918149,0.8645077697810679,0.12694300485247925,0.851330601711027,0.13587512759499712
MISSISSIPPI,JEFFERSON DAVIS,0.5331954099432097,0.45834116897058275,0.5130208324426722,0.46302083252947773,0.6059863937333518,0.390612244366514,0.6216491832435181,0.3652389272068198,0.5964405954843024,0.395382394748465,0.5792692731703376,0.4078544979754475
MISSISSIPPI,JONES,0.31688578458632466,0.6713640095844848,0.2769439624870111,0.7177011838307183,0.3033503651097869,0.6912314390140148,0.30541463566251714,0.6859312309141777,0.27479542879698243,0.7101086340610508,0.2830414408683522,0.705393639059721
MISSISSIPPI,KEMPER,0.5423609468613918,0.4494250165467613,0.5347570265095729,0.4591414241465648,0.6250719895851949,0.37147245081306884,0.6411322235923749,0.35411718061338643,0.609398575965944,0.38327225612573346,0.6102303939754167,0.3777214111652475
MISSISSIPPI,LAFAYETTE,0.40534784634378623,0.5585265810391808,0.4040811018949304,0.5851312707401018,0.4347140680394031,0.5587084145690865,0.4148167134504913,0.5678031271121236,0.405691594763686,0.5534796107756047,0.4299193098962903,0.552832685585607
MISSISSIPPI,LAMAR,0.2094928320627076,0.77069027781551,0.19099241145609913,0.8026017538175807,0.21671007299978573,0.7769889940447833,0.2207400858930692,0.7674474664440325,0.21104424194411017,0.7624837342377668,0.2576794803378341,0.726838686773095
MISSISSIPPI,LAUDERDALE,0.32391220626726525,0.6667308430239773,0.3392319403352286,0.6562341395174305,0.403523108930802,0.5926934832795503,0.42145406827304077,0.5705220122126728,0.38192232075444915,0.6012675386018886,0.4147598168096906,0.5749991997391752
MISSISSIPPI,LAWRENCE,0.4313040831466463,0.5577652944318122,0.36108555602409453,0.6315547368421424,0.3706834784773127,0.6260209190055582,0.3684681989124094,0.6258584642791005,0.3449088618087542,0.6428346941501655,0.3417510958086329,0.6479661263451292
MISSISSIPPI,LEAKE,0.40175489010104304,0.5917721510475085,0.393001345414167,0.6027162601214777,0.44490889555743957,0.551768488154589,0.45407992824882565,0.5413558938646823,0.424192211594044,0.5659841394650442,0.4235869560613185,0.5682608689475426
MISSISSIPPI,LEE,0.36431019352661587,0.6197098905635969,0.32972342541495386,0.6623792067103035,0.34502453995435706,0.651359030839712,0.355831869836336,0.6348779242522863,0.30471242356980144,0.6751131769589179,0.32984250681121324,0.6550576390498842
MISSISSIPPI,LEFLORE,0.5676658384465539,0.41025186199871244,0.619650803988659,0.3788942139858831,0.6814463720805395,0.31381392835883043,0.713927815928969,0.2808267436930817,0.6990125666974752,0.28833034085428155,0.7021022668667013,0.2872486915567349
MISSISSIPPI,LINCOLN,0.33523076897289944,0.6569230764177515,0.30517939389558885,0.690283400327877,0.33663547952263473,0.6592674123040009,0.3333130252629993,0.6603509195440777,0.29342460324266134,0.694398735803068,0.2999821437414546,0.690197011671807
MISSISSIPPI,LOWNDES,0.3919396773832867,0.593031720960462,0.38095238076877175,0.6093117405970158,0.4823091245911165,0.5109723589619264,0.49296708134142164,0.49775388449158486,0.46213098711158124,0.5189051806377692,0.48041554991358043,0.5065893320705593
MISSISSIPPI,MADISON,0.3488395457487392,0.6399745468234118,0.3483902227984305,0.646468181154714,0.4203531380926398,0.5766157236414745,0.4180266687341335,0.5750741359716216,0.4084775710998599,0.5675474879387278,0.4347826086183052,0.5531025402844406
MISSISSIPPI,MARION,0.37406801202576107,0.6179305322622927,0.326287077798937,0.6686839407870065,0.34070421423784253,0.6559056933077235,0.345117448075169,0.6471050352367782,0.31446164344953254,0.6701445303428166,0.3109961400090366,0.6793955812766728
MISSISSIPPI,MARSHALL,0.6142789067548611,0.37507941520403476,0.5848405352859033,0.40949882617044125,0.588932805965988,0.40638491918128006,0.5942118222942046,0.3985837435969312,0.5406698560949729,0.44389783648231157,0.5093886321619848,0.47834608302563947
MISSISSIPPI,MONROE,0.43285928111312927,0.5536676642562368,0.39776182133529864,0.5966103883843649,0.411491217764039,0.5845482719638685,0.4170705754716453,0.5747133227481303,0.3477713420122316,0.6400780655753727,0.3403441680628402,0.6476041481849446
MISSISSIPPI,MONTGOMERY,0.45102082810678323,0.5423798710200457,0.44885099990946814,0.5472572265617917,0.4577996131640646,0.5388664668558231,0.4738706811800342,0.5220549149299293,0.4233386700893942,0.5640512398637886,0.4179310336592492,0.5747783239905846
MISSISSIPPI,NESHOBA,0.28270461032130534,0.7069269791452383,0.24819895366801645,0.7481496094462158,0.2743128961642769,0.7231324870303625,0.2804357691507619,0.7114843388910719,0.25727281317419426,0.7276603802448021,0.27856105248349905,0.7109288210621817
MISSISSIPPI,NEWTON,0.27746187609529355,0.7159472722719731,0.2684135974168867,0.7266288943264532,0.3305598353050233,0.6655367224801882,0.33947018478114943,0.6539838389547061,0.2920110189743473,0.6937910566923172,0.3019738777354671,0.6871256008179067
MISSISSIPPI,NOXUBEE,0.6828825177979764,0.3088413397076275,0.7131229224034503,0.282059800195914,0.7644376888078455,0.23176291758090742,0.7854406117729237,0.2115261810160821,0.7798708274491015,0.21528525257394107,0.7566960090715565,0.23225323050711139
MISSISSIPPI,OKTIBBEHA,0.4352202104598621,0.5376249658621826,0.4288647090650126,0.5630260720970786,0.4962750103787383,0.4959557255768648,0.5020146820654553,0.48357895872187506,0.4887993817651736,0.4731847271721559,0.5212835954237569,0.4557372068351788
MISSISSIPPI,PANOLA,0.5162876455208644,0.4762490117865932,0.49062265529585697,0.5051762936945414,0.529393846768569,0.4642095641399881,0.5395815995842258,0.4534054436863156,0.4932952731722681,0.4944901749239975,0.47373136208246536,0.5157739806003878
MISSISSIPPI,PEARL RIVER,0.2798446317413093,0.7024943856876286,0.22969509950855338,0.764185973137291,0.19349637185635746,0.8009047743434091,0.19645428356891007,0.7896418282983974,0.16469405467043183,0.812594250873923,0.17259601374252237,0.8153372442827207
MISSISSIPPI,PERRY,0.29479238289792986,0.6941959149020511,0.25129740468802914,0.7443113757598576,0.2718085101563679,0.7210992895015971,0.26686473214459155,0.7229989501520466,0.22459499222276327,0.7612297482304313,0.2302231233430982,0.7606490859353464
MISSISSIPPI,PIKE,0.46195115031628464,0.5268953829402122,0.46734505059059817,0.5271045325148909,0.5155624719233202,0.4808248107598795,0.5368866136992954,0.4551574493962627,0.4931330469079503,0.49104843624092676,0.49855841281365565,0.4889286123348353
MISSISSIPPI,PONTOTOC,0.2913774970647976,0.6941114608894727,0.23424645128447116,0.7571648126234836,0.2331326712273218,0.7604565704319783,0.22592861153337473,0.7612601718143097,0.18376463325341602,0.7960566845378492,0.182020750517359,0.8042615411153391
MISSISSIPPI,PRENTISS,0.3875265263056749,0.6013911806161387,0.3347509109611676,0.6584649649063741,0.2797591474944334,0.7135710970694108,0.2807734473429947,0.705172928630347,0.20938006461772685,0.7747163687452225,0.20227358117035552,0.786358511098874
MISSISSIPPI,QUITMAN,0.6161734526335381,0.3750366235715305,0.5948477734342863,0.3981264625347586,0.6746089033102073,0.3210589643295813,0.7129932125835807,0.28047247981786255,0.6870728062791298,0.297473996144208,0.6664600103333539,0.31804091655907957
MISSISSIPPI,RANKIN,0.19428019785343786,0.7960178591055826,0.20121802675888353,0.7864892718473738,0.22863142485346535,0.7658166429478028,0.23365811828924185,0.7552264399789186,0.2247960743970182,0.7516250317436233,0.26674686854904156,0.7203311866505794
MISSISSIPPI,SCOTT,0.38540082512991436,0.608407559625888,0.37149877113366214,0.6254545448398481,0.43166394602554425,0.5655871483845141,0.4491162288438527,0.5435636488630926,0.40562630640027914,0.5818285491524153,0.40342867753337497,0.58557719129267
MISSISSIPPI,SHARKEY,0.5876679277035207,0.3699621068895552,0.5040571226742709,0.36189548730316295,0.6835125423530016,0.31290322468493464,0.7037914664147256,0.2910742484554729,0.675342462669669,0.31598173371697835,0.6710948205630104,0.31516261880365265
MISSISSIPPI,SIMPSON,0.3370587002955309,0.653227490439495,0.32370745229363157,0.6757963672960242,0.3839776800446571,0.6090872852857017,0.3855824962155421,0.6060902925903419,0.33925912922387325,0.6474297218255279,0.3416842993299329,0.6462124412643145
